Date;Start;End;Total;Residual;Hydro
Jan 1, 2022;12:00 AM;1:00 AM;43,915.5;12,452.25;2,539.25
Jan 1, 2022;1:00 AM;2:00 AM;41,535.75;11,480;2,866.25
Jan 1, 2022;2:00 AM;3:00 AM;40,480.75;11,818.75;3,203.75
Jan 1, 2022;3:00 AM;4:00 AM;39,564;12,183;3,708
Jan 1, 2022;4:00 AM;5:00 AM;39,338.25;13,256.75;3,910
Jan 1, 2022;5:00 AM;6:00 AM;38,826.5;14,800.75;3,244.5
Jan 1, 2022;6:00 AM;7:00 AM;38,413;14,722.75;2,701.5
Jan 1, 2022;7:00 AM;8:00 AM;39,086.75;16,280.25;2,245
Jan 1, 2022;8:00 AM;9:00 AM;40,305;19,239.5;2,055.75
Jan 1, 2022;9:00 AM;10:00 AM;42,511;20,682.25;1,635
Jan 1, 2022;10:00 AM;11:00 AM;44,382.5;21,962;1,345
Jan 1, 2022;11:00 AM;12:00 PM;46,732.25;23,928.5;1,520.5
Jan 1, 2022;12:00 PM;1:00 PM;47,314.75;24,236.5;708.5
Jan 1, 2022;1:00 PM;2:00 PM;46,391.75;25,149.75;1,040.25
Jan 1, 2022;2:00 PM;3:00 PM;45,729.25;26,907.25;762
Jan 1, 2022;3:00 PM;4:00 PM;45,663;29,048;475.5
Jan 1, 2022;4:00 PM;5:00 PM;47,864;31,050.25;100.25
Jan 1, 2022;5:00 PM;6:00 PM;51,405;32,532.5;9.5
Jan 1, 2022;6:00 PM;7:00 PM;52,287.75;31,339.5;8
Jan 1, 2022;7:00 PM;8:00 PM;51,321.25;28,326.75;76
Jan 1, 2022;8:00 PM;9:00 PM;49,466;25,280;115.75
Jan 1, 2022;9:00 PM;10:00 PM;48,009.25;23,176;174.25
Jan 1, 2022;10:00 PM;11:00 PM;47,437.25;22,176.5;515
Jan 1, 2022;11:00 PM;12:00 AM;44,832;19,104.75;591.5
Jan 2, 2022;12:00 AM;1:00 AM;42,674.25;16,858.75;3,821.75
Jan 2, 2022;1:00 AM;2:00 AM;41,513.25;15,927.25;4,628.25
Jan 2, 2022;2:00 AM;3:00 AM;40,795.5;16,057;4,518
Jan 2, 2022;3:00 AM;4:00 AM;40,566.5;15,473.5;4,315.5
Jan 2, 2022;4:00 AM;5:00 AM;40,742.5;16,749.75;4,509
Jan 2, 2022;5:00 AM;6:00 AM;40,775.5;16,455.25;4,213.25
Jan 2, 2022;6:00 AM;7:00 AM;40,405.75;15,587.25;2,421.25
Jan 2, 2022;7:00 AM;8:00 AM;42,254.25;16,387.25;1,752.5
Jan 2, 2022;8:00 AM;9:00 AM;45,418.25;17,009.25;1,401
Jan 2, 2022;9:00 AM;10:00 AM;48,344;17,672.25;1,131.75
Jan 2, 2022;10:00 AM;11:00 AM;50,584;16,092.5;899
Jan 2, 2022;11:00 AM;12:00 PM;53,645.75;15,650;744.25
Jan 2, 2022;12:00 PM;1:00 PM;54,538.5;14,036.5;873.5
Jan 2, 2022;1:00 PM;2:00 PM;53,342.75;12,908.25;1,526.75
Jan 2, 2022;2:00 PM;3:00 PM;52,709;12,333.5;1,690.75
Jan 2, 2022;3:00 PM;4:00 PM;53,245.75;13,037.5;2,045.5
Jan 2, 2022;4:00 PM;5:00 PM;55,536.5;14,897.25;1,803.25
Jan 2, 2022;5:00 PM;6:00 PM;58,611.75;16,726.5;850.75
Jan 2, 2022;6:00 PM;7:00 PM;58,765.5;16,320;394
Jan 2, 2022;7:00 PM;8:00 PM;57,348.5;16,013.5;977
Jan 2, 2022;8:00 PM;9:00 PM;54,782.25;14,210.25;1,481.5
Jan 2, 2022;9:00 PM;10:00 PM;52,456;13,593.75;1,346.75
Jan 2, 2022;10:00 PM;11:00 PM;50,894.75;14,458;2,137
Jan 2, 2022;11:00 PM;12:00 AM;47,862.25;12,186.75;2,035
Jan 3, 2022;12:00 AM;1:00 AM;45,379.75;10,537.25;3,645.25
Jan 3, 2022;1:00 AM;2:00 AM;43,676.75;11,150;4,641
Jan 3, 2022;2:00 AM;3:00 AM;42,606.5;10,836;4,638.5
Jan 3, 2022;3:00 AM;4:00 AM;43,139.25;12,233.25;4,677
Jan 3, 2022;4:00 AM;5:00 AM;44,606.25;12,013.25;3,615
Jan 3, 2022;5:00 AM;6:00 AM;48,399.25;11,577.5;1,599.25
Jan 3, 2022;6:00 AM;7:00 AM;55,425.75;13,166.25;1,197.75
